Title,Year,Duration,IMDB Rating,Genre,Actors,Nominations,Wins,Popularity
Gone Girl,2014,149 min,8.1,"Drama, Mystery, Thriller","Ben Affleck, Rosamund Pike, Neil Patrick Harris",188,Nominated for 1 Oscar. 64,"1,104,943"
Whiplash,2014,106 min,8.5,"Drama, Music","Miles Teller, J.K. Simmons, Melissa Benoist",144,Won 3 Oscars. 98,"1,050,264"
The Revenant,2015,156 min,8.0,"Action, Adventure, Drama","Leonardo DiCaprio, Tom Hardy, Will Poulter",193,Won 3 Oscars. 92,"899,014"
The Shawshank Redemption,1994,142 min,9.3,Drama,"Tim Robbins, Morgan Freeman, Bob Gunton",42,Nominated for 7 Oscars. 21,"2,995,055"
Schindler's List,1993,195 min,9.0,"Biography, Drama, History","Liam Neeson, Ralph Fiennes, Ben Kingsley",49,Won 7 Oscars. 91,"1,501,081"
Raging Bull,1980,129 min,8.1,"Biography, Drama, Sport","Robert De Niro, Cathy Moriarty, Joe Pesci",28,Won 2 Oscars. 24,"390,616"
Casablanca,1942,102 min,8.5,"Drama, Romance, War","Humphrey Bogart, Ingrid Bergman, Paul Henreid",11,Won 3 Oscars. 14,"625,036"
Citizen Kane,1941,119 min,8.3,"Drama, Mystery","Orson Welles, Joseph Cotten, Dorothy Comingore",13,Won 1 Oscar. 11,"477,223"
Gone with the Wind,1939,238 min,8.2,"Drama, Romance, War","Clark Gable, Vivien Leigh, Thomas Mitchell",9,Won 8 Oscars. 21,"341,972"
Lawrence of Arabia,1962,227 min,8.3,"Adventure, Biography, Drama","Peter O'Toole, Alec Guinness, Anthony Quinn",14,Won 7 Oscars. 31,"323,716"
The Godfather Part II,1974,202 min,9.0,"Crime, Drama","Al Pacino, Robert De Niro, Robert Duvall",21,Won 6 Oscars. 17,"1,405,378"
One Flew Over the Cuckoo's Nest,1975,133 min,8.7,Drama,"Jack Nicholson, Louise Fletcher, Michael Berryman",15,Won 5 Oscars. 38,"1,100,141"
